unnecessary#a  necessary#a
bad#a#13  immoral#a#1  1

happy#a  cheerful#a
happy#a  cheerful#a  (all senses)
happy#a#1  cheerful#a#1  367
happy#a#3  cheerful#a#1  12
happy#a#4  cheerful#a#1  11
happy#a#2  cheerful#a#1  11
happy#a#1  cheerful#a#2  4
happy#a#3  cheerful#a#2  1
happy#a#4  cheerful#a#2  1
happy#a#2  cheerful#a#2  0

sharp#a  dull#a
sharp#a  dull#a  (all senses)
sharp#a#9  dull#a#9  73
sharp#a#8  dull#a#9  44
sharp#a#9  dull#a#1  33
sharp#a#9  dull#a#2  28
sharp#a#6  dull#a#1  20
sharp#a#11  dull#a#1  19
sharp#a#7  dull#a#9  18
sharp#a#3  dull#a#1  17
sharp#a#6  dull#a#9  16
sharp#a#6  dull#a#2  16
sharp#a#8  dull#a#1  16
sharp#a#3  dull#a#2  15
sharp#a#9  dull#a#4  15
sharp#a#8  dull#a#2  15
sharp#a#9  dull#a#11  14
sharp#a#3  dull#a#4  14
sharp#a#8  dull#a#11  14
sharp#a#9  dull#a#3  14
sharp#a#2  dull#a#9  14
sharp#a#3  dull#a#9  13
sharp#a#4  dull#a#1  13
sharp#a#11  dull#a#2  13
sharp#a#11  dull#a#9  13
sharp#a#4  dull#a#7  12
sharp#a#9  dull#a#7  12
sharp#a#3  dull#a#7  12
sharp#a#1  dull#a#4  11
sharp#a#9  dull#a#8  11
sharp#a#1  dull#a#2  11
sharp#a#12  dull#a#1  11
sharp#a#9  dull#a#12  11
sharp#a#1  dull#a#9  11
sharp#a#4  dull#a#4  11
sharp#a#12  dull#a#2  11
sharp#a#12  dull#a#9  11
sharp#a#9  dull#a#10  10
sharp#a#11  dull#a#10  10
sharp#a#1  dull#a#1  9
sharp#a#10  dull#a#9  8
sharp#a#11  dull#a#8  8
sharp#a#8  dull#a#8  8
sharp#a#6  dull#a#8  8
sharp#a#6  dull#a#10  8
sharp#a#3  dull#a#10  8
sharp#a#8  dull#a#6  8
sharp#a#8  dull#a#7  8
sharp#a#4  dull#a#9  8
sharp#a#6  dull#a#4  7
sharp#a#9  dull#a#6  7
sharp#a#10  dull#a#1  7
sharp#a#1  dull#a#3  7
sharp#a#12  dull#a#12  7
sharp#a#3  dull#a#11  7
sharp#a#10  dull#a#2  7
sharp#a#7  dull#a#4  7
sharp#a#6  dull#a#12  7
sharp#a#5  dull#a#2  7
sharp#a#8  dull#a#4  7
sharp#a#7  dull#a#3  7
sharp#a#3  dull#a#3  7
sharp#a#11  dull#a#7  7
sharp#a#11  dull#a#5  7
sharp#a#11  dull#a#4  7
sharp#a#3  dull#a#8  7
sharp#a#6  dull#a#7  6
sharp#a#1  dull#a#8  6
sharp#a#11  dull#a#12  6
sharp#a#8  dull#a#12  6
sharp#a#11  dull#a#3  6
sharp#a#5  dull#a#1  6
sharp#a#8  dull#a#10  6
sharp#a#1  dull#a#7  6
sharp#a#10  dull#a#4  5
sharp#a#6  dull#a#11  5
sharp#a#5  dull#a#9  5
sharp#a#6  dull#a#3  5
sharp#a#11  dull#a#11  5
sharp#a#12  dull#a#7  5
sharp#a#4  dull#a#10  5
sharp#a#1  dull#a#12  5
sharp#a#9  dull#a#5  5
sharp#a#3  dull#a#12  5
sharp#a#4  dull#a#12  5
sharp#a#4  dull#a#2  5
sharp#a#12  dull#a#8  5
sharp#a#6  dull#a#6  4
sharp#a#8  dull#a#3  4
sharp#a#12  dull#a#11  4
sharp#a#12  dull#a#5  4
sharp#a#6  dull#a#5  4
sharp#a#12  dull#a#10  4
sharp#a#5  dull#a#4  4
sharp#a#2  dull#a#1  4
sharp#a#1  dull#a#11  4
sharp#a#3  dull#a#6  3
sharp#a#11  dull#a#6  3
sharp#a#10  dull#a#5  3
sharp#a#2  dull#a#10  3
sharp#a#5  dull#a#12  3
sharp#a#12  dull#a#3  3
sharp#a#10  dull#a#10  3
sharp#a#1  dull#a#5  3
sharp#a#5  dull#a#10  3
sharp#a#12  dull#a#4  3
sharp#a#5  dull#a#8  3
sharp#a#3  dull#a#5  3
sharp#a#1  dull#a#10  3
sharp#a#10  dull#a#3  3
sharp#a#8  dull#a#5  3
sharp#a#12  dull#a#6  3
sharp#a#4  dull#a#11  3
sharp#a#7  dull#a#1  3
sharp#a#5  dull#a#7  3
sharp#a#1  dull#a#6  2
sharp#a#2  dull#a#4  2
sharp#a#5  dull#a#6  2
sharp#a#7  dull#a#8  2
sharp#a#10  dull#a#8  2
sharp#a#5  dull#a#11  2
sharp#a#10  dull#a#12  2
sharp#a#2  dull#a#11  2
sharp#a#7  dull#a#12  2
sharp#a#10  dull#a#7  2
sharp#a#7  dull#a#11  2
sharp#a#2  dull#a#2  2
sharp#a#7  dull#a#2  2
sharp#a#4  dull#a#5  1
sharp#a#4  dull#a#6  1
sharp#a#5  dull#a#3  1
sharp#a#7  dull#a#7  1
sharp#a#7  dull#a#10  1
sharp#a#7  dull#a#6  1
sharp#a#2  dull#a#3  1
sharp#a#10  dull#a#11  1
sharp#a#4  dull#a#3  1
sharp#a#7  dull#a#5  1
sharp#a#2  dull#a#5  1
sharp#a#2  dull#a#8  1
sharp#a#2  dull#a#12  1
sharp#a#4  dull#a#8  1
sharp#a#2  dull#a#6  1
sharp#a#10  dull#a#6  1
sharp#a#2  dull#a#7  0
sharp#a#5  dull#a#5  0

childish#a  foolish#a
childish#a  foolish#a  (all senses)
childish#a#1  foolish#a#1  12
childish#a#1  foolish#a#2  10

strange#a  odd#a
strange#a  odd#a  (all senses)
strange#a#1  odd#a#4  318
strange#a#3  odd#a#4  32
strange#a#3  odd#a#5  22
strange#a#1  odd#a#5  13
strange#a#3  odd#a#6  10
strange#a#1  odd#a#2  10
strange#a#3  odd#a#2  9
strange#a#1  odd#a#6  7
strange#a#2  odd#a#6  6
strange#a#3  odd#a#3  6
strange#a#2  odd#a#2  5
strange#a#2  odd#a#5  4
strange#a#2  odd#a#4  4
strange#a#1  odd#a#3  3
strange#a#1  odd#a#1  2
strange#a#2  odd#a#1  2
strange#a#3  odd#a#1  2
strange#a#2  odd#a#3  2

bad#a  terrific#a
bad#a  terrific#a  (all senses)
bad#a#2  terrific#a#1  108
bad#a#1  terrific#a#2  24
bad#a#1  terrific#a#1  18
bad#a#2  terrific#a#2  11
bad#a#5  terrific#a#2  11
bad#a#3  terrific#a#2  8
bad#a#10  terrific#a#2  8
bad#a#1  terrific#a#3  7
bad#a#4  terrific#a#2  7
bad#a#5  terrific#a#1  6
bad#a#7  terrific#a#2  6
bad#a#10  terrific#a#1  6
bad#a#12  terrific#a#1  6
bad#a#7  terrific#a#1  6
bad#a#12  terrific#a#2  5
bad#a#6  terrific#a#2  5
bad#a#14  terrific#a#1  5
bad#a#4  terrific#a#1  5
bad#a#3  terrific#a#1  5
bad#a#6  terrific#a#1  4
bad#a#14  terrific#a#2  4
bad#a#9  terrific#a#2  4
bad#a#11  terrific#a#2  3
bad#a#11  terrific#a#3  3
bad#a#4  terrific#a#3  3
bad#a#8  terrific#a#1  3
bad#a#9  terrific#a#1  3
bad#a#5  terrific#a#3  2
bad#a#13  terrific#a#1  2
bad#a#7  terrific#a#3  2
bad#a#6  terrific#a#3  2
bad#a#11  terrific#a#1  2
bad#a#13  terrific#a#2  2
bad#a#14  terrific#a#3  1
bad#a#13  terrific#a#3  1
bad#a#3  terrific#a#3  1
bad#a#8  terrific#a#3  1
bad#a#12  terrific#a#3  1
bad#a#10  terrific#a#3  1
bad#a#9  terrific#a#3  1
bad#a#2  terrific#a#3  1
bad#a#8  terrific#a#2  0

unhappy#a  mad#a
unhappy#a  mad#a  (all senses)
unhappy#a#1  mad#a#3  26
unhappy#a#4  mad#a#3  16
unhappy#a#1  mad#a#2  13
unhappy#a#2  mad#a#3  12
unhappy#a#1  mad#a#1  11
unhappy#a#1  mad#a#4  7
unhappy#a#4  mad#a#2  4
unhappy#a#2  mad#a#2  4
unhappy#a#2  mad#a#1  2
unhappy#a#4  mad#a#1  2
unhappy#a#3  mad#a#3  2
unhappy#a#4  mad#a#4  2
unhappy#a#3  mad#a#4  2
unhappy#a#2  mad#a#4  2
unhappy#a#3  mad#a#1  2
unhappy#a#3  mad#a#2  2

dumb#a  dense#a
dumb#a  dense#a  (all senses)
dumb#a#1  dense#a#4  572
dumb#a#1  dense#a#2  11
dumb#a#4  dense#a#2  10
dumb#a#3  dense#a#4  10
dumb#a#1  dense#a#3  9
dumb#a#2  dense#a#4  8
dumb#a#4  dense#a#1  7
dumb#a#4  dense#a#4  7
dumb#a#1  dense#a#1  6
dumb#a#3  dense#a#2  6
dumb#a#2  dense#a#2  6
dumb#a#2  dense#a#3  4
dumb#a#3  dense#a#3  4
dumb#a#4  dense#a#3  4
dumb#a#2  dense#a#1  3
dumb#a#3  dense#a#1  3

guilty#a  ashamed#a
guilty#a  ashamed#a  (all senses)
guilty#a#2  ashamed#a#1  100
guilty#a#1  ashamed#a#1  39

weird#a  strange#a
weird#a  strange#a  (all senses)
weird#a#2  strange#a#1  266
weird#a#2  strange#a#3  26
weird#a#1  strange#a#3  21
weird#a#1  strange#a#1  14
weird#a#1  strange#a#2  6
weird#a#2  strange#a#2  3

quick#a  rapid#a
quick#a  rapid#a  (all senses)
quick#a#1  rapid#a#2  123
quick#a#5  rapid#a#2  116
quick#a#1  rapid#a#1  106
quick#a#5  rapid#a#1  106
quick#a#3  rapid#a#2  12
quick#a#2  rapid#a#1  10
quick#a#2  rapid#a#2  9
quick#a#3  rapid#a#1  8
quick#a#4  rapid#a#2  5
quick#a#6  rapid#a#2  4
quick#a#6  rapid#a#1  4
quick#a#4  rapid#a#1  3

nice#a  generous#a
nice#a  generous#a  (all senses)
nice#a#1  generous#a#1  20
nice#a#1  generous#a#3  8
nice#a#5  generous#a#1  7
nice#a#1  generous#a#2  7
nice#a#4  generous#a#1  7
nice#a#4  generous#a#2  5
nice#a#3  generous#a#1  5
nice#a#3  generous#a#2  5
nice#a#2  generous#a#1  5
nice#a#2  generous#a#3  4
nice#a#5  generous#a#2  4
nice#a#3  generous#a#3  3
nice#a#2  generous#a#2  2
nice#a#5  generous#a#3  2
nice#a#4  generous#a#3  0

laden#a  heavy#a
laden#a  heavy#a  (all senses)
laden#a#1  heavy#a#22  125
laden#a#1  heavy#a#1  19
laden#a#2  heavy#a#1  12
laden#a#2  heavy#a#4  10
laden#a#1  heavy#a#4  10
laden#a#2  heavy#a#17  9
laden#a#2  heavy#a#18  8
laden#a#2  heavy#a#3  8
laden#a#2  heavy#a#19  7
laden#a#2  heavy#a#12  7
laden#a#1  heavy#a#18  7
laden#a#2  heavy#a#22  7
laden#a#2  heavy#a#10  7
laden#a#2  heavy#a#13  7
laden#a#1  heavy#a#27  6
laden#a#1  heavy#a#17  6
laden#a#1  heavy#a#2  6
laden#a#2  heavy#a#16  6
laden#a#2  heavy#a#8  6
laden#a#2  heavy#a#26  5
laden#a#2  heavy#a#25  5
laden#a#1  heavy#a#12  5
laden#a#1  heavy#a#8  5
laden#a#2  heavy#a#7  5
laden#a#1  heavy#a#13  5
laden#a#1  heavy#a#9  5
laden#a#2  heavy#a#27  5
laden#a#1  heavy#a#3  4
laden#a#2  heavy#a#6  4
laden#a#1  heavy#a#20  4
laden#a#1  heavy#a#25  4
laden#a#2  heavy#a#9  4
laden#a#1  heavy#a#7  4
laden#a#1  heavy#a#10  4
laden#a#1  heavy#a#5  4
laden#a#2  heavy#a#2  4
laden#a#2  heavy#a#24  4
laden#a#1  heavy#a#21  3
laden#a#2  heavy#a#5  3
laden#a#1  heavy#a#24  3
laden#a#1  heavy#a#16  3
laden#a#1  heavy#a#26  3
laden#a#1  heavy#a#19  3
laden#a#2  heavy#a#20  3
laden#a#2  heavy#a#15  2
laden#a#1  heavy#a#15  2
laden#a#1  heavy#a#23  2
laden#a#2  heavy#a#21  2
laden#a#2  heavy#a#11  2
laden#a#2  heavy#a#23  2
laden#a#1  heavy#a#6  1
laden#a#2  heavy#a#14  0
laden#a#1  heavy#a#11  0
laden#a#1  heavy#a#14  0

dull#a  funny#a
dull#a  funny#a  (all senses)
dull#a#1  funny#a#2  19
dull#a#2  funny#a#2  18
dull#a#2  funny#a#1  15
dull#a#12  funny#a#1  14
dull#a#1  funny#a#1  13
dull#a#4  funny#a#2  12
dull#a#4  funny#a#1  12
dull#a#9  funny#a#2  12
dull#a#7  funny#a#2  9
dull#a#7  funny#a#1  9
dull#a#8  funny#a#1  8
dull#a#1  funny#a#4  8
dull#a#8  funny#a#2  8
dull#a#10  funny#a#2  8
dull#a#3  funny#a#2  8
dull#a#2  funny#a#4  7
dull#a#11  funny#a#2  7
dull#a#12  funny#a#2  7
dull#a#9  funny#a#1  7
dull#a#9  funny#a#3  6
dull#a#11  funny#a#3  6
dull#a#7  funny#a#3  6
dull#a#1  funny#a#3  6
dull#a#4  funny#a#3  6
dull#a#10  funny#a#1  6
dull#a#10  funny#a#3  6
dull#a#3  funny#a#1  6
dull#a#10  funny#a#4  5
dull#a#11  funny#a#1  5
dull#a#4  funny#a#4  5
dull#a#7  funny#a#4  5
dull#a#5  funny#a#1  5
dull#a#9  funny#a#4  4
dull#a#3  funny#a#4  4
dull#a#8  funny#a#3  4
dull#a#5  funny#a#2  3
dull#a#2  funny#a#3  3
dull#a#12  funny#a#4  3
dull#a#5  funny#a#4  3
dull#a#12  funny#a#3  3
dull#a#6  funny#a#1  3
dull#a#8  funny#a#4  3
dull#a#6  funny#a#2  3
dull#a#11  funny#a#4  2
dull#a#6  funny#a#3  2
dull#a#5  funny#a#3  1
dull#a#6  funny#a#4  1
dull#a#3  funny#a#3  1

easy#a  big#a
easy#a  big#a  (all senses)
easy#a#1  big#a#1  40
easy#a#5  big#a#10  28
easy#a#5  big#a#1  21
easy#a#3  big#a#1  16
easy#a#1  big#a#11  11
easy#a#2  big#a#1  11
easy#a#7  big#a#1  10
easy#a#9  big#a#1  10
easy#a#1  big#a#12  10
easy#a#8  big#a#1  9
easy#a#11  big#a#1  9
easy#a#12  big#a#1  9
easy#a#1  big#a#4  9
easy#a#3  big#a#13  9
easy#a#1  big#a#5  8
easy#a#1  big#a#8  8
easy#a#3  big#a#12  8
easy#a#1  big#a#10  7
easy#a#8  big#a#10  7
easy#a#5  big#a#5  7
easy#a#7  big#a#12  7
easy#a#2  big#a#5  7
easy#a#1  big#a#13  7
easy#a#3  big#a#5  7
easy#a#1  big#a#9  6
easy#a#2  big#a#12  6
easy#a#10  big#a#1  6
easy#a#3  big#a#8  6
easy#a#5  big#a#12  6
easy#a#3  big#a#9  6
easy#a#11  big#a#11  6
easy#a#1  big#a#7  6
easy#a#10  big#a#11  6
easy#a#5  big#a#4  5
easy#a#3  big#a#10  5
easy#a#7  big#a#5  5
easy#a#5  big#a#9  5
easy#a#1  big#a#2  5
easy#a#6  big#a#1  5
easy#a#3  big#a#4  5
easy#a#10  big#a#12  5
easy#a#3  big#a#3  5
easy#a#2  big#a#3  5
easy#a#10  big#a#8  5
easy#a#6  big#a#5  4
easy#a#8  big#a#4  4
easy#a#11  big#a#7  4
easy#a#2  big#a#4  4
easy#a#8  big#a#9  4
easy#a#8  big#a#8  4
easy#a#11  big#a#12  4
easy#a#11  big#a#4  4
easy#a#5  big#a#3  4
easy#a#9  big#a#5  4
easy#a#7  big#a#3  4
easy#a#7  big#a#11  4
easy#a#11  big#a#8  4
easy#a#1  big#a#3  4
easy#a#2  big#a#11  4
easy#a#3  big#a#2  4
easy#a#11  big#a#5  4
easy#a#3  big#a#11  4
easy#a#2  big#a#9  4
easy#a#2  big#a#13  3
easy#a#9  big#a#8  3
easy#a#8  big#a#13  3
easy#a#7  big#a#8  3
easy#a#6  big#a#3  3
easy#a#2  big#a#10  3
easy#a#6  big#a#9  3
easy#a#8  big#a#5  3
easy#a#12  big#a#8  3
easy#a#5  big#a#8  3
easy#a#10  big#a#5  3
easy#a#6  big#a#13  3
easy#a#8  big#a#3  3
easy#a#12  big#a#13  3
easy#a#12  big#a#5  3
easy#a#9  big#a#12  3
easy#a#2  big#a#2  3
easy#a#8  big#a#2  3
easy#a#5  big#a#2  3
easy#a#5  big#a#13  3
easy#a#8  big#a#7  3
easy#a#7  big#a#2  3
easy#a#3  big#a#7  3
easy#a#2  big#a#8  3
easy#a#9  big#a#10  3
easy#a#11  big#a#3  2
easy#a#11  big#a#2  2
easy#a#8  big#a#12  2
easy#a#7  big#a#10  2
easy#a#10  big#a#2  2
easy#a#12  big#a#2  2
easy#a#12  big#a#10  2
easy#a#7  big#a#13  2
easy#a#6  big#a#8  2
easy#a#10  big#a#6  2
easy#a#10  big#a#3  2
easy#a#6  big#a#12  2
easy#a#5  big#a#11  2
easy#a#4  big#a#8  2
easy#a#12  big#a#7  2
easy#a#6  big#a#7  2
easy#a#9  big#a#7  2
easy#a#10  big#a#13  2
easy#a#6  big#a#2  2
easy#a#9  big#a#13  2
easy#a#2  big#a#7  2
easy#a#4  big#a#7  2
easy#a#4  big#a#12  2
easy#a#6  big#a#10  2
easy#a#12  big#a#3  2
easy#a#7  big#a#9  2
easy#a#5  big#a#7  2
easy#a#11  big#a#13  2
easy#a#9  big#a#2  2
easy#a#11  big#a#10  2
easy#a#8  big#a#11  2
easy#a#9  big#a#4  2
easy#a#6  big#a#4  2
easy#a#4  big#a#11  2
easy#a#12  big#a#4  2
easy#a#12  big#a#9  1
easy#a#11  big#a#6  1
easy#a#7  big#a#7  1
easy#a#7  big#a#4  1
easy#a#10  big#a#4  1
easy#a#12  big#a#12  1
easy#a#9  big#a#9  1
easy#a#12  big#a#6  1
easy#a#7  big#a#6  1
easy#a#12  big#a#11  1
easy#a#4  big#a#1  1
easy#a#11  big#a#9  1
easy#a#4  big#a#4  1
easy#a#9  big#a#3  1
easy#a#10  big#a#7  1
easy#a#6  big#a#11  0
easy#a#6  big#a#6  0
easy#a#9  big#a#6  0
easy#a#4  big#a#3  0
easy#a#4  big#a#9  0
easy#a#9  big#a#11  0
easy#a#4  big#a#6  0
easy#a#4  big#a#2  0
easy#a#3  big#a#6  0
easy#a#10  big#a#10  0
easy#a#2  big#a#6  0
easy#a#1  big#a#6  0
easy#a#4  big#a#5  0
easy#a#4  big#a#13  0
easy#a#5  big#a#6  0
easy#a#4  big#a#10  0
easy#a#10  big#a#9  0
easy#a#8  big#a#6  0

different#a  normal#a
different#a  normal#a  (all senses)
different#a#1  normal#a#1  80
different#a#2  normal#a#1  18
different#a#5  normal#a#1  16
different#a#3  normal#a#1  15
different#a#1  normal#a#3  10
different#a#1  normal#a#4  5
different#a#5  normal#a#3  4
different#a#2  normal#a#3  3
different#a#5  normal#a#4  2
different#a#1  normal#a#2  2
different#a#3  normal#a#4  1
different#a#2  normal#a#4  1
different#a#3  normal#a#3  1
different#a#4  normal#a#4  0
different#a#4  normal#a#2  0
different#a#5  normal#a#2  0
different#a#4  normal#a#3  0
different#a#4  normal#a#1  0
different#a#3  normal#a#2  0
different#a#2  normal#a#2  0

modern#a  ancient#a
modern#a  ancient#a  (all senses)
modern#a#1  ancient#a#1  50
modern#a#1  ancient#a#2  16
modern#a#5  ancient#a#2  15
modern#a#5  ancient#a#1  13
modern#a#4  ancient#a#1  13
modern#a#2  ancient#a#2  3
modern#a#3  ancient#a#1  3
modern#a#2  ancient#a#1  2
modern#a#4  ancient#a#2  2
modern#a#3  ancient#a#2  1

sad#a  funny#a
sad#a  funny#a  (all senses)
sad#a#2  funny#a#1  11
sad#a#1  funny#a#1  10
sad#a#1  funny#a#2  8
sad#a#3  funny#a#2  7
sad#a#2  funny#a#2  6
sad#a#3  funny#a#1  6
sad#a#2  funny#a#4  4
sad#a#1  funny#a#4  4
sad#a#3  funny#a#4  3
sad#a#3  funny#a#3  3
sad#a#2  funny#a#3  2
sad#a#1  funny#a#3  0

hard#a  simple#a
hard#a  simple#a  (all senses)
hard#a#1  simple#a#1  61
hard#a#3  simple#a#6  50
hard#a#1  simple#a#6  39
hard#a#8  simple#a#6  35
hard#a#3  simple#a#1  34
hard#a#1  simple#a#2  22
hard#a#8  simple#a#1  20
hard#a#2  simple#a#1  20
hard#a#2  simple#a#6  18
hard#a#9  simple#a#1  16
hard#a#4  simple#a#1  15
hard#a#5  simple#a#1  14
hard#a#1  simple#a#5  14
hard#a#10  simple#a#6  13
hard#a#6  simple#a#6  13
hard#a#9  simple#a#6  12
hard#a#10  simple#a#1  11
hard#a#1  simple#a#4  11
hard#a#11  simple#a#1  10
hard#a#6  simple#a#1  10
hard#a#1  simple#a#3  10
hard#a#3  simple#a#4  9
hard#a#8  simple#a#3  9
hard#a#5  simple#a#2  9
hard#a#1  simple#a#7  8
hard#a#4  simple#a#6  8
hard#a#3  simple#a#5  7
hard#a#4  simple#a#2  7
hard#a#2  simple#a#5  7
hard#a#2  simple#a#2  7
hard#a#11  simple#a#6  7
hard#a#8  simple#a#4  7
hard#a#7  simple#a#6  6
hard#a#3  simple#a#2  6
hard#a#8  simple#a#2  6
hard#a#2  simple#a#4  6
hard#a#5  simple#a#6  6
hard#a#9  simple#a#4  6
hard#a#3  simple#a#3  6
hard#a#8  simple#a#5  5
hard#a#4  simple#a#3  5
hard#a#12  simple#a#3  5
hard#a#5  simple#a#3  5
hard#a#4  simple#a#7  4
hard#a#11  simple#a#2  4
hard#a#3  simple#a#7  4
hard#a#6  simple#a#3  4
hard#a#11  simple#a#7  4
hard#a#7  simple#a#1  4
hard#a#12  simple#a#4  4
hard#a#12  simple#a#1  4
hard#a#11  simple#a#3  4
hard#a#4  simple#a#5  3
hard#a#9  simple#a#7  3
hard#a#2  simple#a#3  3
hard#a#9  simple#a#2  3
hard#a#6  simple#a#4  3
hard#a#9  simple#a#3  3
hard#a#4  simple#a#4  3
hard#a#2  simple#a#7  3
hard#a#5  simple#a#5  2
hard#a#10  simple#a#2  2
hard#a#10  simple#a#7  2
hard#a#6  simple#a#5  2
hard#a#6  simple#a#2  2
hard#a#5  simple#a#7  2
hard#a#11  simple#a#4  2
hard#a#10  simple#a#4  2
hard#a#11  simple#a#5  2
hard#a#12  simple#a#6  2
hard#a#8  simple#a#7  2
hard#a#12  simple#a#5  2
hard#a#7  simple#a#3  2
hard#a#5  simple#a#4  2
hard#a#10  simple#a#3  2
hard#a#12  simple#a#2  2
hard#a#12  simple#a#7  1
hard#a#7  simple#a#7  1
hard#a#7  simple#a#2  1
hard#a#7  simple#a#4  1
hard#a#9  simple#a#5  1
hard#a#10  simple#a#5  1
hard#a#7  simple#a#5  0
hard#a#6  simple#a#7  0

dirty#a  narrow#a
dirty#a  narrow#a  (all senses)
dirty#a#1  narrow#a#1  34
dirty#a#2  narrow#a#1  29
dirty#a#2  narrow#a#3  22
dirty#a#2  narrow#a#5  18
dirty#a#1  narrow#a#3  17
dirty#a#1  narrow#a#2  12
dirty#a#1  narrow#a#5  11
dirty#a#6  narrow#a#5  9
dirty#a#12  narrow#a#3  9
dirty#a#10  narrow#a#3  9
dirty#a#9  narrow#a#3  9
dirty#a#7  narrow#a#1  9
dirty#a#6  narrow#a#3  8
dirty#a#2  narrow#a#2  8
dirty#a#1  narrow#a#4  8
dirty#a#6  narrow#a#1  8
dirty#a#7  narrow#a#3  8
dirty#a#10  narrow#a#1  7
dirty#a#12  narrow#a#1  7
dirty#a#8  narrow#a#3  7
dirty#a#9  narrow#a#5  7
dirty#a#12  narrow#a#5  7
dirty#a#3  narrow#a#1  6
dirty#a#2  narrow#a#4  6
dirty#a#10  narrow#a#5  6
dirty#a#3  narrow#a#3  6
dirty#a#10  narrow#a#2  5
dirty#a#11  narrow#a#3  5
dirty#a#8  narrow#a#5  5
dirty#a#11  narrow#a#1  5
dirty#a#4  narrow#a#2  5
dirty#a#8  narrow#a#1  5
dirty#a#6  narrow#a#2  5
dirty#a#7  narrow#a#2  5
dirty#a#11  narrow#a#2  5
dirty#a#8  narrow#a#2  4
dirty#a#9  narrow#a#2  4
dirty#a#9  narrow#a#1  4
dirty#a#3  narrow#a#2  4
dirty#a#4  narrow#a#3  4
dirty#a#12  narrow#a#2  4
dirty#a#4  narrow#a#5  4
dirty#a#10  narrow#a#4  4
dirty#a#3  narrow#a#4  3
dirty#a#4  narrow#a#1  3
dirty#a#5  narrow#a#1  3
dirty#a#8  narrow#a#4  3
dirty#a#3  narrow#a#5  3
dirty#a#11  narrow#a#4  3
dirty#a#7  narrow#a#5  2
dirty#a#9  narrow#a#4  2
dirty#a#5  narrow#a#2  2
dirty#a#12  narrow#a#4  2
dirty#a#6  narrow#a#4  2
dirty#a#5  narrow#a#3  2
dirty#a#4  narrow#a#4  2
dirty#a#11  narrow#a#5  2
dirty#a#7  narrow#a#4  2
dirty#a#5  narrow#a#5  1
dirty#a#5  narrow#a#4  1

dumb#a  clever#a
dumb#a  clever#a  (all senses)
dumb#a#1  clever#a#3  5
dumb#a#3  clever#a#3  3
dumb#a#4  clever#a#3  3
dumb#a#1  clever#a#1  3
dumb#a#3  clever#a#2  2
dumb#a#4  clever#a#2  2
dumb#a#1  clever#a#2  2
dumb#a#2  clever#a#3  2
dumb#a#2  clever#a#1  1
dumb#a#2  clever#a#2  1
dumb#a#4  clever#a#1  1
dumb#a#3  clever#a#1  0

hard#a  dense#a
hard#a  dense#a  (all senses)
hard#a#1  dense#a#2  20
hard#a#1  dense#a#3  18
hard#a#1  dense#a#4  16
hard#a#8  dense#a#4  13
hard#a#3  dense#a#2  13
hard#a#3  dense#a#3  11
hard#a#9  dense#a#2  9
hard#a#3  dense#a#4  9
hard#a#1  dense#a#1  8
hard#a#8  dense#a#2  8
hard#a#2  dense#a#3  8
hard#a#2  dense#a#2  8
hard#a#9  dense#a#4  8
hard#a#4  dense#a#4  8
hard#a#11  dense#a#2  8
hard#a#5  dense#a#4  7
hard#a#11  dense#a#4  7
hard#a#8  dense#a#3  7
hard#a#3  dense#a#1  6
hard#a#4  dense#a#2  6
hard#a#5  dense#a#3  6
hard#a#9  dense#a#1  5
hard#a#6  dense#a#2  5
hard#a#11  dense#a#3  5
hard#a#5  dense#a#2  5
hard#a#2  dense#a#1  5
hard#a#12  dense#a#4  5
hard#a#10  dense#a#3  5
hard#a#10  dense#a#2  5
hard#a#4  dense#a#3  5
hard#a#5  dense#a#1  5
hard#a#9  dense#a#3  4
hard#a#10  dense#a#4  4
hard#a#8  dense#a#1  4
hard#a#2  dense#a#4  4
hard#a#6  dense#a#4  3
hard#a#12  dense#a#2  3
hard#a#6  dense#a#1  3
hard#a#6  dense#a#3  3
hard#a#7  dense#a#2  3
hard#a#12  dense#a#3  2
hard#a#7  dense#a#1  2
hard#a#10  dense#a#1  1
hard#a#7  dense#a#4  1
hard#a#7  dense#a#3  1
hard#a#4  dense#a#1  1
hard#a#11  dense#a#1  1
hard#a#12  dense#a#1  0

big#a  heavy#a
big#a  heavy#a  (all senses)
big#a#13  heavy#a#27  241
big#a#10  heavy#a#8  77
big#a#1  heavy#a#1  68
big#a#1  heavy#a#12  38
big#a#1  heavy#a#2  32
big#a#2  heavy#a#17  32
big#a#1  heavy#a#13  31
big#a#1  heavy#a#4  27
big#a#6  heavy#a#14  26
big#a#1  heavy#a#3  25
big#a#1  heavy#a#8  24
big#a#1  heavy#a#17  24
big#a#1  heavy#a#5  22
big#a#1  heavy#a#24  20
big#a#1  heavy#a#10  19
big#a#1  heavy#a#16  18
big#a#1  heavy#a#27  16
big#a#1  heavy#a#22  16
big#a#10  heavy#a#1  15
big#a#1  heavy#a#19  14
big#a#13  heavy#a#1  13
big#a#4  heavy#a#1  13
big#a#1  heavy#a#18  13
big#a#1  heavy#a#20  12
big#a#4  heavy#a#16  12
big#a#1  heavy#a#9  12
big#a#10  heavy#a#17  11
big#a#4  heavy#a#17  11
big#a#1  heavy#a#6  11
big#a#12  heavy#a#17  10
